Ticker,Date,Bid,Ask
YHOO,20110419.627012,16,16.75
YHOO,20110420.627012,16.01,16.75
YHOO,20110421.721536,15.99,16.75
YHOO,20110421.729989,16,16.75
8604.T,20210719.627012,0.0,0.029804038447209594
8604.T,20210720.627012,0.0,0.029804038447209594
8604.T,20210721.721536,0.0,0.029804038447209594
8604.T,20210722.729989,0.0,0.029804038447209594
GS,20180418.627012,254.90,257.02
GS,20180419.627012,254.00,256.16
GS,20180420.721536,254.10,255.68
GS,20180423.729989,251.66,252.75
8053.T,20211230.627012,0.037255048059011996,0.022353028835407195
8053.T,20211229.721536,0.037255048059011996,0.022353028835407195
8053.T,20211228.729989,0.037255048059011996,0.022353028835407195
