Date,Open,High,Low,Close,Volume
2009-12-31,9307.02,9336.84,9300.47,9306.89,56775820
2010-01-04,9306.93,9510.11,9296.6,9510.11,265611968
2010-01-05,9510.14,9568.67,9492.68,9557.09,361749312
2010-01-06,9557.03,9593.58,9520.6,9589.53,327810048
2010-01-07,9589.6,9638.55,9544.33,9630.38,425904224
2010-01-08,9630.3,9708.26,9630.3,9689.05,495029376
2010-01-11,9689.02,9795.61,9688.55,9726.44,373149920
2010-01-12,9726.5,9746.81,9550.55,9603.47,414984672
2010-01-13,9603.38,9619.29,9544.76,9569.52,380311616
2010-01-14,9569.55,9630.72,9562.08,9568.03,477578240
2010-01-15,9567.96,9617.22,9520.1,9538.2,472924640
2010-01-18,9538.08,9576.5,9519.05,9572.07,296189024
2010-01-19,9571.98,9571.98,9470.49,9555.41,350808864
2010-01-20,9555.46,9560.69,9467.41,9472.29,421591328
2010-01-21,9472.37,9543.9,9418.07,9418.07,420469664
2010-01-22,9418.02,9418.69,9292.4,9325.22,472967968
2010-01-25,9325.21,9401.56,9289.73,9293.12,333153664
2010-01-26,9293.08,9293.08,9227.81,9292.92,340051072
2010-01-27,9292.93,9292.93,9193.16,9245.25,315376096
2010-01-28,9245.17,9349.75,9213.78,9213.78,494586368
2010-01-29,9213.79,9299.32,9201.61,9237.3,449735872
2010-02-01,9237.41,9312.11,9217.85,9312.11,301370752
2010-02-02,9312.11,9480.78,9286.1,9480.77,387119392
2010-02-03,9480.69,9515.92,9417.34,9417.81,376837760
2010-02-04,9417.81,9428.19,9217.77,9223.84,470826272
2010-02-05,9223.9,9224.48,8993.38,9035.91,554790976
2010-02-08,9036.03,9127.64,8954.92,9010.37,389968288
2010-02-09,9010.4,9054.08,8976.67,9020.01,421161536
2010-02-10,9019.97,9141.01,9019.97,9064.32,401984768
2010-02-11,9064.36,9164.86,9064.36,9127.85,408300608
2010-02-12,9127.76,9182.71,9052.97,9052.97,373987584
2010-02-15,9052.96,9109.08,9052.96,9072.96,190896688
2010-02-16,9072.93,9176.27,9072.93,9176.27,313821152
2010-02-17,9176.18,9337.25,9176.18,9329.92,388728800
2010-02-18,9329.95,9385.27,9305.15,9385.27,338501280
2010-02-19,9385.44,9431.36,9313.74,9431.36,365887680
2010-02-22,9431.39,9497.91,9426.73,9441.71,303358304
2010-02-23,9441.67,9500.74,9377.41,9387.85,344986208
2010-02-24,9387.87,9400.48,9317.34,9359.18,402468864
2010-02-25,9359.23,9365.06,9223.56,9226.94,481604544
2010-02-26,9226.96,9344.39,9226.96,9344.39,369216576
2010-03-01,9344.51,9479.83,9344.51,9479.83,400318048
2010-03-02,9479.98,9598.65,9457.51,9598.65,411874496
2010-03-03,9598.58,9612.17,9523.86,9612.17,452385056
2010-03-04,9612.21,9685.33,9588.04,9665.29,397599392
2010-03-05,9665.31,9796.75,9665.31,9774.72,395071680
2010-03-08,9774.74,9814.58,9758.62,9786.39,304069696
2010-03-09,9786.47,9801.78,9710.94,9774.68,370426816
2010-03-10,9774.79,9865.29,9768.33,9865.29,439787488
2010-03-11,9865.27,9872.06,9829.79,9854.44,334119648
2010-03-12,9854.47,9966.78,9854.47,9941.56,354357600
2010-03-15,9941.6,9950.67,9860.75,9879.01,249057600
2010-03-16,9879.07,9952.73,9879.07,9930.04,337076672
2010-03-17,9929.99,10008.5,9929.99,10008.5,343767776
2010-03-18,10008.51,10041.03,9983.3,10004.18,384692512
2010-03-19,10004.3,10083.34,10004.3,10019.77,659720256
2010-03-22,10019.83,10019.83,9905.25,9991.92,342050432
2010-03-23,9991.94,10054.41,9991.94,10030.1,447801536
2010-03-24,10030.15,10103.14,10003.07,10081.12,439614816
2010-03-25,10081.05,10204.97,10081.05,10190.9,479899680
2010-03-26,10191,10235.38,10175.23,10223.56,401647648
2010-03-29,10234.97,10262.03,10179.76,10209.53,374480640
2010-03-30,10209.49,10244.12,10185.71,10186.14,429954720
2010-03-31,10186.2,10247.68,10098.87,10165.28,522976704
2010-04-01,10165.23,10309.52,10164.15,10309.52,383901248
2010-04-06,10309.48,10434.01,10309.47,10434.01,344386528
2010-04-07,10433.97,10453.62,10410.75,10420.12,417286016
2010-04-08,10420.15,10420.15,10296.19,10379.48,353481504
2010-04-09,10379.45,10467.33,10379.45,10463.28,309836704
2010-04-12,10463.36,10507.12,10458.63,10481.77,293664992
2010-04-13,10481.8,10481.8,10403.81,10418.88,373234944
2010-04-14,10418.9,10499.07,10418.9,10495.64,328544928
2010-04-15,10495.58,10548.22,10495.58,10539.15,357293184
2010-04-16,10539.24,10556.44,10437.46,10447.83,347846752
