Id,BasePay
1,167411.18
2,155966.02
3,212739.13
4,77916
5,134401.6
6,118602
7,92492.01
8,256576.96
9,176932.64
10,285262
11,194999.39
12,99722
13,294580.02
14,271329.03
15,174872.64
16,198778.01
17,268604.57
18,140546.87
19,168692.63
20,257510.59
21,257510.48
22,257510.44
23,140546.88
24,168692.63
25,140546.86
26,256470.41
27,92080.8
28,168692.59
29,261717.6
30,246225.6
31,234325.02
32,254027.63
33,248895.7
34,104861.39
35,177781.25
36,101953.2
37,245124.44
38,110661.2
39,132202.26
40,147158.85
41,168692.66
42,168692.63
43,218930.76
44,123013.02
45,196081.86
46,249375.02
47,168692.64
48,248895.77
49,233867.6
50,137729.92
51,168692.59
52,246305.62
53,140546.87
54,140546.88
55,140546.89
56,226206.8
57,240731.93
58,217410.8
59,115381.02
60,214745.44
61,123105
62,102571.24
63,140546.86
64,168692.62
65,148970.43
66,185369.69
67,177914.76
68,139167.39
69,122974
70,115455.44
71,220983.12
72,92782.61
73,95770.8
74,233357.28
75,130457.88
76,85578.61
77,174872.64
78,73754.05
79,140546.88
80,168692.62
81,172529.08
82,122272.69
83,168692.62
84,230827.12
85,217410.8
86,122404.98
87,150464.82
88,96814.36
89,88062
90,138878.82
91,188842.37
92,102722.4
93,149362.84
94,215914.03
95,168692.62
96,215180.76
97,208925.6
98,168692.67
99,122404.98
100,224035.85
101,168692.65
102,123105
103,105934.69
104,88400.7
105,105934.64
106,110474.93
107,149362.86
108,188708
109,188708
110,105934.67
111,206057.69
112,63811.18
113,220115.22
114,188708
115,88400.7
116,121628.34
117,219804.34
118,191054.19
119,150432.85
120,179648
121,140546.88
122,203658.55
123,122594
124,188889.44
125,88062
126,185369.68
127,192170.93
128,168692.63
129,140546.85
130,123105
131,158603.68
132,141648.87
133,215799.48
134,149044.93
135,166203.84
136,123416.25
137,182368.79
138,215180.75
139,213907.72
140,213907.72
141,213907.72
142,123105
143,130481.53
144,105934.63
145,206438.88
146,140546.63
147,183040
148,105934.69
149,167070.08
150,183040
151,105934.64
152,181502.08
153,173842.63
154,140546.88
155,86840
156,149050.69
157,82235.56
158,182134.81
159,198778
160,210821.61
161,88062
162,122404.98
163,207501.2
164,130457.96
165,116603.33
166,105934.67
167,90094.2
168,105934.65
169,161044
170,130481.56
171,123105.02
172,130457.88
173,60373.82
174,135651.04
175,77580.4
176,133769.86
177,175345.85
178,200385.64
179,122405
180,208243.12
181,77580.36
182,140546.85
183,207874.94
184,189853.68
185,63878.03
186,207798.79
187,177528
