DATE,GS10,GS6M,GS1,GS5
2014-01-01,2.86,0.07,0.12,1.65
2014-02-01,2.71,0.08,0.12,1.52
2014-03-01,2.72,0.08,0.13,1.64
2014-04-01,2.71,0.05,0.11,1.70
2014-05-01,2.56,0.05,0.10,1.59
2014-06-01,2.60,0.06,0.10,1.68
2014-07-01,2.54,0.06,0.11,1.70
2014-08-01,2.42,0.05,0.11,1.63
2014-09-01,2.53,0.04,0.11,1.77
2014-10-01,2.30,0.05,0.10,1.55
2014-11-01,2.33,0.07,0.13,1.62
2014-12-01,2.21,0.11,0.21,1.64
2015-01-01,1.88,0.08,0.20,1.37
2015-02-01,1.98,0.07,0.22,1.47
2015-03-01,2.04,0.11,0.25,1.52
2015-04-01,1.94,0.09,0.23,1.35
2015-05-01,2.20,0.08,0.24,1.54
2015-06-01,2.36,0.09,0.28,1.68
2015-07-01,2.32,0.12,0.30,1.63
2015-08-01,2.17,0.22,0.38,1.54
2015-09-01,2.17,0.18,0.37,1.49
2015-10-01,2.07,0.11,0.26,1.39
2015-11-01,2.26,0.33,0.48,1.67
2015-12-01,2.24,0.50,0.65,1.70
2016-01-01,2.09,0.43,0.54,1.52
2016-02-01,1.78,0.45,0.53,1.22
