DESCRIPTION,COLUMN,TREATMENT,COMMA DELIMITED
age,AAGE,Scale,"'AAGE',"
class of worker,ACLSWKR,One-hot,"'ACLSWKR',"
industry code,ADTIND,One-hot,"'ADTIND',"
occupation code,ADTOCC,One-hot,"'ADTOCC',"
education,AHGA,Label encode,"'AHGA',"
wage per hour,AHRSPAY,Scale,"'AHRSPAY',"
enrolled in edu inst last wk,AHSCOL,Label encode,"'AHSCOL',"
marital status,AMARITL,One-hot,"'AMARITL',"
major industry code,AMJIND,One-hot,"'AMJIND',"
major occupation code,AMJOCC,One-hot,"'AMJOCC',"
mace,ARACE,One-hot,"'ARACE',"
hispanic Origin,AREORGN,One-hot,"'AREORGN',"
sex,ASEX,One-hot,"'ASEX',"
member of a labor union,AUNMEM,One-hot,"'AUNMEM',"
reason for unemployment,AUNTYPE,One-hot,"'AUNTYPE',"
full or part time employment stat,AWKSTAT,One-hot,"'AWKSTAT',"
capital gains,CAPGAIN,Scale,"'CAPGAIN',"
capital losses,CAPLOSS,Scale,"'CAPLOSS',"
divdends from stocks,DIVVAL,Scale,"'DIVVAL',"
tax filer status,FILESTAT,One-hot,"'FILESTAT',"
region of previous residence,GRINREG,One-hot,"'GRINREG',"
state of previous residence,GRINST,One-hot,"'GRINST',"
detailed household and family stat,HHDFMX,One-hot,"'HHDFMX',"
detailed household summary in household,HHDREL,One-hot,"'HHDREL',"
migration code-change in msa,MIGMTR1,One-hot,"'MIGMTR1',"
migration code-change in reg,MIGMTR3,One-hot,"'MIGMTR3',"
migration code-move within reg,MIGMTR4,One-hot,"'MIGMTR4',"
live in this house 1 year ago,MIGSAME,Label encode,"'MIGSAME',"
migration prev res in sunbelt,MIGSUN,Label encode,"'MIGSUN',"
num persons worked for employer,NOEMP,Scale,"'NOEMP',"
family members under 18,PARENT,One-hot,"'PARENT',"
country of birth father,PEFNTVTY,One-hot,"'PEFNTVTY',"
country of birth mother,PEMNTVTY,One-hot,"'PEMNTVTY',"
country of birth self,PENATVTY,One-hot,"'PENATVTY',"
citizenship,PRCITSHP,One-hot,"'PRCITSHP',"
own business or self employed,SEOTR,One-hot,"'SEOTR',"
fill inc questionnaire for veteran's admin,VETQVA,Label encode,"'VETQVA',"
veterans benefits,VETYN,Leave alone,"'VETYN',"
weeks worked in year,WKSWORK,Scale,"'WKSWORK',"
income above 50000,CLASS,,"'CLASS',"
,,,
Additional rows to add,,,
Cap Gains per weeks worked in year,,,
Dividends per weeks worked in year,,,
