,AAGE,ACLSWKR,ADTIND,ADTOCC,AHGA,AHRSPAY,AHSCOL,AMARITL,AMJIND,AMJOCC,ARACE,AREORGN,ASEX,AUNMEM,AUNTYPE,AWKSTAT,CAPGAIN,CAPLOSS,DIVVAL,FILESTAT,GRINREG,GRINST,HHDFMX,HHDREL,MIGMTR1,MIGMTR3,MIGMTR4,MIGSAME,MIGSUN,NOEMP,PARENT,PEFNTVTY,PEMNTVTY,PENATVTY,PRCITSHP,SEOTR,VETQVA,VETYN,WKSWORK,CLASS,FILE
0,73, Not in universe,0,0, High school graduate,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Other Rel 18+ ever marr not in subfamily, Other relative of householder, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,-1,Train
1,58, Self-employed-not incorporated,4,34, Some college but no degree,0, Not in universe, Divorced, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Head of household, South, Arkansas, Householder, Householder, MSA to MSA, Same county, Same county, No, Yes,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,-1,Train
2,18, Not in universe,0,0, 10th grade,0, High school, Never married, Not in universe or children, Not in universe, Asian or Pacific Islander, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older, ?, ?, ?, Not in universe under 1 year old, ?,0, Not in universe, Vietnam, Vietnam, Vietnam, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,-1,Train
3,9, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, Nonmover, Nonmover, Nonmover, Yes, Not in universe,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,-1,Train
4,10, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, Nonmover, Nonmover, Nonmover, Yes, Not in universe,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,-1,Train
5,48, Private,40,10, Some college but no degree,1200, Not in universe, Married-civilian spouse present, Entertainment, Professional specialty, Amer Indian Aleut or Eskimo, All other, Female, No, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, ?, ?, ?, Not in universe under 1 year old, ?,1, Not in universe, Philippines, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,-1,Train
6,42, Private,34,3, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,5178,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,-1,Train
7,28, Private,4,40, High school graduate,0, Not in universe, Never married, Construction, Handlers equip cleaners etc , White, All other, Female, Not in universe, Job loser - on layoff, Unemployed full-time,0,0,0, Single, Not in universe, Not in universe, Secondary individual, Nonrelative of householder, ?, ?, ?, Not in universe under 1 year old, ?,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,30,-1,Train
8,47, Local government,43,26, Some college but no degree,876, Not in universe, Married-civilian spouse present, Education, Adm support including clerical, White, All other, Female, No, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder, ?, ?, ?, Not in universe under 1 year old, ?,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,-1,Train
9,34, Private,4,37, Some college but no degree,0, Not in universe, Married-civilian spouse present, Construction, Machine operators assmblrs & inspctrs, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder, Nonmover, Nonmover, Nonmover, Yes, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,-1,Train
